Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Year
Veterans Health Administration,DC,Healthcare Provider,2302,2024-12-03,Hacking/IT Incident,Network Server,Yes,,2024
Atrium Health,NC,Healthcare Provider,585959,2024-12-02,Unauthorized Access/Disclosure,Network Server,No,,2024
"Jefferson Dental Center, Inc.",IN,Healthcare Provider,12340,2024-11-27,Hacking/IT Incident,Network Server,No,,2024
Colonial Behavioral Health,VA,Healthcare Provider,29930,2024-11-27,Hacking/IT Incident,Network Server,No,,2024
Pavilion of Bridgeview,IL,Healthcare Provider,1407,2024-11-25,Hacking/IT Incident,Electronic Medical Record,Yes,,2024
"Ardon Health, LLC",OR,Healthcare Provider,10098,2024-11-22,Hacking/IT Incident,Email,No,,2024
"Vann Virginia Center for Orthopaedics, PC dba Atlantic Orthopaedic Specialists",VA,Healthcare Provider,15264,2024-11-22,Hacking/IT Incident,Email,No,,2024
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239,2024-11-22,Unauthorized Access/Disclosure,Email,No,,2024
Lubbock County Hospital District,TX,Healthcare Provider,501,2024-11-22,Hacking/IT Incident,Network Server,No,,2024
"Green Castle Recovery Center DBA, Sanford Behavioral Health",MI,Healthcare Provider,703,2024-11-22,Hacking/IT Incident,Email,No,,2024
Pinnacle Claims Management,CA,Business Associate,1119,2024-11-21,Hacking/IT Incident,Network Server,Yes,,2024
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,20000,2024-11-21,Hacking/IT Incident,Network Server,No,,2024
York County ,PA,Healthcare Provider,501,2024-11-20,Hacking/IT Incident,Email,No,,2024
Laboratory Services Cooperative ,WA,Healthcare Provider,501,2024-11-20,Hacking/IT Incident,Network Server,No,,2024
"Enso Counseling Group, PLLC",NH,Healthcare Provider,850,2024-11-20,Hacking/IT Incident,Email,No,,2024
AuthoraCare Collective,NC,Healthcare Provider,58019,2024-11-19,Unauthorized Access/Disclosure,Network Server,No,,2024
Athens County Bd of Dev. Disabilities ,OH,Healthcare Provider,3100,2024-11-19,Hacking/IT Incident,Network Server,No,,2024
"The Arbors Operator, LLC",IN,Healthcare Provider,2808,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,,2024
Terrace of Hialeah,FL,Healthcare Provider,1177,2024-11-18,Hacking/IT Incident,Network Server,Yes,,2024
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,1559,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,,2024
"Berkshire Nursing & Rehab Center, LLC",IL,Healthcare Provider,4237,2024-11-18,Hacking/IT Incident,Network Server,Yes,,2024
"Aperion Care Marseilles, LLC",IL,Healthcare Provider,1052,2024-11-18,Hacking/IT Incident,Network Server,Yes,,2024
Village Pharmacy Group,MA,Healthcare Provider,584,2024-11-18,Hacking/IT Incident,Email,No,,2024
Option Care Health,IL,Healthcare Provider,2897,2024-11-15,Hacking/IT Incident,Email,No,,2024
"HealthFund Solutions, LLC",FL,Business Associate,5198,2024-11-15,Hacking/IT Incident,Email,Yes,,2024
"ESHA, Inc.",TX,Business Associate,76922,2024-11-15,Hacking/IT Incident,Network Server,Yes,,2024
"Equinox, Inc. ",NY,Healthcare Provider,21565,2024-11-15,Hacking/IT Incident,Network Server,No,,2024
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)",NY,Healthcare Provider,501,2024-11-15,Hacking/IT Incident,Network Server,No,,2024
"athenahealth, Inc.",MA,Business Associate,1974,2024-11-15,Unauthorized Access/Disclosure,Network Server,Yes,,2024
VPS of MI PLLC,MI,Healthcare Provider,20604,2024-11-15,Hacking/IT Incident,Network Server,No,,2024
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,7195,2024-11-15,Hacking/IT Incident,Electronic Medical Record,No,,2024
"TriHealth H, LLC d/b/a TriHealth Physician Partners (“TriHealth”)",OH,Healthcare Provider,27426,2024-11-14,Hacking/IT Incident,Electronic Medical Record,Yes,,2024
Western Montana Mental Health Center,MT,Healthcare Provider,500,2024-11-14,Hacking/IT Incident,Network Server,No,,2024
Physicians' Primary Care of Southwest Florida,FL,Healthcare Provider,500,2024-11-14,Hacking/IT Incident,Network Server,No,,2024
"Hopscotch Health Management, LLC",IL,Business Associate,4945,2024-11-14,Theft,Paper/Films,Yes,,2024
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777,2024-11-14,Hacking/IT Incident,Email,Yes,,2024
"Liberty Endo, LLC",NY,Healthcare Provider,942,2024-11-13,Hacking/IT Incident,Email,No,,2024
